-2294,-2383,-1384
-2697,911,-775
-1820,-2875,-2094
455,1643,-1884
663,635,624
-2870,2925,-900
-2775,955,-746
1950,-2009,-688
-2386,-3448,-1390
-615,4275,-1841
-1615,-512,-2047
784,-1943,509
-19,-2266,-195
-3051,-1576,-2943
-2864,1735,-1981
72,-2376,-28
-1548,1830,-1937
495,1695,-1766
-392,-1986,-4384
-270,-258,-2114
130,-2255,-1330
-1758,-2733,-4081
-3233,-4101,-2177
-2042,-695,-2935
771,2003,-583
-461,-2018,-4327
-474,3255,-3120
-696,1859,-2170
-1256,3745,-1228
-1831,-4299,-735
1664,-2831,-895
-1486,1846,-697
-519,919,-928
-2427,3723,-1241
-860,-3006,473
-308,459,-1963
-2901,-505,-1722
-3156,-2640,-657
-1090,-2301,-3767
355,-472,1693
893,-1766,-2940
539,-2699,-3287
-782,-3028,383
570,-2774,-3229
-1145,2546,-1228
814,-1932,-2930
-325,-3078,-771
-529,-361,-2895
-2298,1261,-1224
-1616,4413,-1703
-2450,1184,-1309
-667,1907,280
-1116,-2333,1030
-1775,3055,-550
-689,1972,480
-1780,-604,-4145
-282,-3055,-835
1648,-2790,-927
-559,608,691
-1912,-4248,-714
-821,-2961,-2933
910,651,-1942
-678,3034,-1600
-2986,4413,-2034
2087,-2944,776
648,-740,-624
-53,1335,-1203
-3063,1798,-686
918,595,-2002
-703,4201,-1762
762,-2761,-2093
-2897,-660,-576
-639,3125,-1679
-2000,855,-2080
-2875,4314,-492
-692,3017,-1655
-1956,-2009,-1858
125,1354,-37
-1597,-3109,-739
1290,-2335,-76
-502,-359,-2875
-1825,-2988,-3023
-1247,-2368,1189
-1981,-440,601
-292,-583,-938
-524,585,668
-2904,4244,-524
-1707,-621,1459
-2909,-728,-1708
-1817,-411,596
-720,-1565,-3147
-1131,-1042,-2575
1871,-1658,738
-533,-3207,1587
-1665,4255,-741
-1643,-3130,-540
-3118,-1674,-521
-531,820,-4147
-1648,-1801,-891
-1749,618,-4037
-338,-611,-4410
-380,483,-1763
2027,-2942,713
-506,902,-750
-3042,4522,-2019
-1808,3036,-547
726,-2646,-1973
-1656,4248,-1764
-1718,-1588,-3262
60,-1197,1123
-2036,-2844,-2052
-1119,-2317,-1282
-1811,1677,-3169
804,1600,-2927
-1215,-1088,1153
-3126,553,-1913
-63,1198,-10
820,-1873,-3002
860,663,-1906
-2419,-1052,-2557
-1592,-2907,560
-1581,-2755,-4067
-1206,-2347,-2567
711,-1903,-802
510,3214,-2003
-711,-1499,-3223
-1261,-2252,-44
-1999,-2829,-2051
-1763,4337,-644
-3096,-2683,-733
74,1190,-1336
-736,-2737,-1769
-1917,-2016,-1951
-318,-575,-4320
-1214,-1217,-2468
-1883,-1952,-1962
-796,-2845,409
719,517,-790
-1513,3176,-2915
-1741,-4022,-1778
-1098,1197,-1349
-3204,-441,-3115
-1612,-1692,-4401
-530,4150,-838
-674,-1741,-874
-725,2943,-503
-3091,-2641,-547
-2788,3105,-873
745,-1975,-854
-1501,1768,-881
-725,-557,1833
-3186,-3909,-2118
-1846,-1612,-3134
29,-2243,-2561
615,3235,-3200
-1135,-1085,-1258
-1556,-3172,-660
-622,-2017,-2107
717,-2707,-2182
-1895,-1563,-3225
-2958,3079,-875
-54,2552,-2509
-1543,-3129,1519
354,-467,1861
-637,2885,-569
-1620,-351,-2005
-1204,-26,-1217
566,614,-810
-608,-2712,-4239
-2921,1923,-702
-1598,-2920,687
-2317,3584,-1373
-2797,4410,-537
-485,939,-3188
-2947,4456,-2115
-2839,-1570,-1972
-1629,-1580,-894
815,1751,-2988
-1599,-618,1440
-1471,3203,-2907
-609,-1716,-848
-1707,-827,-830
-3226,-3978,-2075
-2001,721,-1998
-5,-2368,-1261
-377,-3073,-808
-764,-513,1985
-1671,703,-4047
-3206,479,-1934
-1949,-4330,-629
-2909,927,-828
-2872,-1587,-1976
-531,-588,535
612,3195,-3250
-347,4137,-741
632,-2983,702
-1195,-1135,-3759
-371,3231,-2950
-666,-1794,303
-1797,-1638,1777
-2339,-1172,-1391
-1898,-708,-4219
-367,-341,-2968
-1831,1769,-3186
-358,3158,-3083
-792,2807,-535
-2830,-627,-1616
-1667,-4117,-1741
-3109,-1904,-517
357,-365,1743
-366,-602,-4438
-1663,724,-813
-2034,-1540,442
-1760,-744,-945
102,-1051,-2476
-1899,858,-2856
-371,1795,-3352
-1530,-2924,744
812,637,728
-1130,111,-3723
-51,-1224,-2529
-682,1822,443
-1732,1710,-3112
-447,-257,-2072
-1116,3649,-1328
-2906,1682,-1958
836,2075,-505
-1913,-749,-3001
-637,1809,-2125
-2040,2908,-1689
1805,-1813,742
-369,-399,-2086
-434,1848,-2151
681,-747,219
640,-3207,726
-2796,-4283,-688
-1079,112,-1355
-687,-2675,-1718
51,2381,-2441
571,-2743,-3187
-343,-538,-972
-2018,898,-2877
-575,-1823,-890
901,1603,-2938
-1234,-2380,-3684
-567,-3123,1413
884,1955,-564
-3030,-2734,-2036
427,-634,-1911
610,-699,219
-467,-3120,1576
599,3262,-2050
573,-3214,710
-1066,-1215,-3625
708,-617,-651
-2046,2913,-1676
-1086,-2403,-135
-1822,2922,-1698
476,-622,-1932
106,150,-140
-1575,-2980,1458
-744,2076,-619
-1579,3199,-3002
829,-3010,-463
-410,4102,-746
-383,-1642,1724
-1658,1853,-1979
-596,-1918,-2053
116,-1208,-15
521,-1618,1910
-364,947,-3293
-524,-456,650
-746,-1634,-3347
-382,-639,-926
-2901,-1663,-1902
-663,-2691,-4246
709,-1846,547
-3134,2980,-1899
-1851,3049,-581
-1632,804,-752
-1608,-420,-1847
-1745,-1703,1941
2060,-2910,785
-3176,-2786,-2015
374,-732,-3211
460,-582,-3150
-762,-2959,-2820
-1166,2466,-2483
-1554,-1551,-4366
-718,-468,1839
-3104,-397,-3132
-1587,-1729,-797
1880,-1874,707
-1603,4218,-1645
-444,933,-3346
-592,2030,-524
-702,-1823,326
-1755,644,-4163
-1584,-3054,1434
-2282,-1074,-1238
587,611,-765
-717,-2745,-4209
782,-1951,569
-1621,-2763,-4096
-2880,-790,-557
863,-3002,-522
-3055,2838,-1946
-1680,816,-669
-270,-1625,1565
-3134,-561,-3162
536,3162,-1979
697,-786,-622
-1769,-678,-818
698,-1808,-910
-2293,-1095,-2419
-1761,-2834,-2981
-1262,2380,-1299
-3118,-1481,-2953
-2393,-3620,-1261
-1924,-1579,342
-2003,-469,598
-1687,4269,-711
-1707,1739,-1962
674,-1730,-1928
-1246,1360,-1265
-2887,1887,-2014
-1883,871,-2986
-475,916,-4260
555,-679,247
-604,-1777,342
646,-1698,-1789
-508,558,793
696,3249,-3321
1821,-1915,-734
-2802,-706,-598
-654,-581,626
-1842,-2733,-3021
538,-659,-1817
425,-632,-3130
-2846,-4301,-694
-267,-1788,1692
-2908,1785,-688
-1752,-4111,-1885
-1994,-613,-2992
566,2068,373
-3000,446,-1901
-3025,2955,-1983
-316,-1984,-4417
-2423,-2416,-1217
-27,-1069,-67
558,2065,469
-522,4280,-1730
-711,-3064,-2863
1883,-1888,-771
736,-1649,1911
-733,2118,-560
484,1642,-1848
-1485,1993,-833
-3089,-1791,-503
-2825,-4317,-573
-3078,-2930,-2071
-2994,-1569,-2877
677,-1617,-1863
-537,927,-791
1595,-2701,-839
-1645,-561,1572
-2019,829,-2054
788,620,506
-552,-2026,-2008
69,1232,-174
768,-1625,1907
-1888,-1524,320
19,10,-53
-372,1794,-3266
-1889,-533,-4137
699,-3046,-588
-352,1757,-3335
670,2065,498
-1734,-1523,1858
-1608,-1580,-4328
-430,508,-1985
115,-2367,-2459
-1119,-2412,-2412
-513,826,-4221
-565,-2721,-1808
