0,0,0
38,1213,-102
-39,1336,-1209
-1221,1246,-1298
-2397,1350,-1273
107,-1107,-103
-12,-1098,1067
-1199,-1205,1054
-1203,-2354,1028
-59,-2331,-114
-24,-2345,-1388
-1155,-2289,-1267
-2342,-2258,-1213
-1087,-2382,-2510
-1137,-2335,-3610
-2422,-1229,-1332
-11,-2328,-2513
-1212,-1125,-1217
-2386,-1133,-2447
1137,-2354,-185
99,-1188,-2466
-1077,-1232,-3760
-1226,33,-3681
-1242,-2316,-20
-2299,-3615,-1274
-1234,-19,-1347
-1112,-1126,-2573
-1147,2470,-1367
-1247,2471,-2553
-58,2432,-2497
-1086,3712,-1326
-2301,3723,-1377
