32491093007709	22118321045850	27674034218179	17242469745088	48868319769358	22432440913119	97774467368562	39422807027491	138508043837521	55038424587582	157253621231420	63247472387933	141740702114011	59405620288288	115864149937553	52042669312358	85048040806299	42723767794216	57328067654557	32971421421058
27464148626406	22909380722959	24411161361207	18339227150404	45771240990345	26798799489606	93049942628388	49852007802021	131888061854776	70086475100793	149195946847792	80150679486177	133029050096658	74014892331523	106768284484217	63041043110262	76262326668116	49500114207749	49975322685009	36271342990318
47778298777454	51863007694527	45198749672670	42256065066831	93013662727308	66627147856285	193753136998081	128102093757446	275067741811212	180790203020533	309991007938181	206178124632834	273042027784929	188619139770374	214368059463212	158172600376397	147573255754448	121018590867041	92399285032143	85783200461468
95150439448698	110271560863819	91559198282731	90102105134760	193170338541590	143837652082703	404904579900696	277971552725785	575111835924670	392525387812463	647608359455719	447445126742668	568867175661958	408746284676519	444356092776315	341960390180808	303121579983974	260599337302567	187451244607486	183752194019471
134744015509561	156667189442502	129742452789556	128017919861733	274195599086465	204338056588702	575025114466224	394866867190505	816800855030343	557580343505068	919758187195363	635572886949720	807873766901514	580573486330851	630947104784464	485695191963177	430229563871565	370143448743170	265845890886828	261020999052381
153087536629019	175731756652760	146854918035875	143358457407936	309196008717909	227643103580178	647920021341197	439030255834762	920342039518611	619808874222024	1036584236547450	706629989887427	911090395997650	645891163888987	712381680443927	540941920252956	486638407378784	413013330504401	301304993766094	291924543777199
138289532619163	152587196649184	131180774190079	123918341809156	272847859601291	193861680728600	570239341223618	371697814511699	809953813657517	524412223918770	912857726749764	598173233581909	803934725594806	547751790031343	630797200227453	460209655405242	433315766324816	353242407657025	270005289024391	251335571960996
113467910521040	116741133558209	105619718613031	94052321632284	214924284932572	143154512703677	446968027750017	271438145890854	634769613696613	382487451335154	716241959649754	436714381695627	632979211251440	401295357757593	499714329362294	339191112961279	346642902541848	262939886779945	218433063958910	189371397363999
83778196139157	77009573807050	75823864479001	61338593313854	148747830493442	89305072914203	306621346123766	166105651528183	435288918824107	233540865024536	492043106122795	267086464416104	437256456198320	246843781072417	348577682881276	210700817615389	245605000281051	165978781951352	157595953724471	121908465540796
56852759190649	45804749946574	49982165861983	36086577212020	93726416205179	49950658789496	190897246590017	90710140491134	270803396243039	127168354434684	306719685234774	145727874122839	274291038026362	135620348907779	221109915584112	117096403483545	158631174219251	93957512181736	104001566545663	70562456023196
